id;nom_dep;violence;destruction_degradation;homicides;vols;viols_crimes_sexuels;autres;stupefiants;falsification_escroquerie_fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv;nom_dept;code_dept;nom_reg;code_reg
81;PARIS;12392;13721;10843;155892;1605;10072;12240;39068;10539;1032268;2067590;2229621;29140;209819;393857;984752;7090;0,44;PARIS;75;ILE-DE-FRANCE;11
38;LOT;4845;2575;3469;30827;1242;4837;4378;7916;522453;77235;161489;170301;19699,8951;31586;72706;34837;8082,222222;0,362111111;LOT;46;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
6;INDRE;7260;5398;5798;43531;2026;5467;4013;11611;689760;101436;210984;227693;18929,07895;50308;93525;31761;8451,875;0,333;INDRE;36;CENTRE-VAL DE LOIRE;24
53;SEINE-SAINT-DENIS;19726;18860;15906;121362;2402;10126;20956;21151;23676;585402;1584381;1552482;17626,5;343510;449031;298439;7343;0,420525;SEINE-SAINT-DENIS;93;ILE-DE-FRANCE;11
24;SEINE-MARITIME;97187;158302;92863;679949;24241;71398;57499;132639;630625;530143;1201889;1250119;21608,12139;237542;450265;222157;7943,506494;0,373077922;SEINE-MARITIME;76;NORMANDIE;28
77;LOT-ET-GARONNE;6258;5039;5856;43557;1461;4593;1639;7997;538384;147493;323888;333180;19174,61039;69533;131983;55745;8248,125;0,34896875;LOT-ET-GARONNE;47;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
95;BOUCHES-DU-RHONE;25904;17718;22923;212975;3131;16889;15467;36811;500484;495114;1163157;1137784;24306,77966;182966;398960;279625;8587,8125;0,32228125;BOUCHES-DU-RHONE;13;PROVENCE-ALPES-COTE D'AZUR;93
35;INDRE-ET-LOIRE;15683;23631;13752;141602;4754;12051;9644;38712;615636;267901;593721;598314;20560,44118;95755;217784;129443;8768,297872;0,30812766;INDRE-ET-LOIRE;37;CENTRE-VAL DE LOIRE;24
5;CHARENTE;13501;13488;10685;76696;3348;8503;4523;26507;597201;154054;332885;343558;19190,76271;68576;145112;60172;8185,454545;0,353939394;CHARENTE;16;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
43;VENDEE;5992;4736;5580;45900;1991;6214;4388;10930;678776;275053;628985;607822;19828,99225;119668;281971;110521;9507,578947;0,249663158;VENDEE;85;PAYS DE LA LOIRE;52
56;CORSE-DU-SUD;764;1262;643;4655;114;599;501;1595;401771;55428;118693;149234;20778,21918;27947;64683;31439;8420,909091;0,335363636;CORSE-DU-SUD;2A;CORSE;94
80;CHER;6788;7343;5280;36671;1429;3919;3082;10117;730621;137669;294915;311389;19970,18657;59903;125042;51484;8242,631579;0,349368421;CHER;18;CENTRE-VAL DE LOIRE;24
4;AIN;14032;12388;10751;98425;3421;10738;8901;19380;578248;255041;614580;610759;23521,2336;;;;;;AIN;1;AUVERGNE-RHONE-ALPES;84
29;TARN-ET-GARONNE;1497;1358;1366;11485;359;1016;635;2642;373028;108147;253025;250342;18807,74725;49315;98111;45855;8203,684211;0,352421053;TARN-ET-GARONNE;82;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
45;SAONE-ET-LOIRE;12699;9685;11099;81485;2750;11222;11696;21444;861073;243585;530984;555484;20904,16988;110985;226161;91246;8453,658537;0,332780488;SAONE-ET-LOIRE;71;BOURGOGNE-FRANCHE-COMTE;27
91;RHONE;126783;141428;110830;1316091;21734;95145;103501;234782;320968;531129;1289488;1264066;24121,81132;202668;414146;313137;8484,3;0,33035;RHONE;69;AUVERGNE-RHONE-ALPES;84
68;SEINE-ET-MARNE;73458;63086;53690;407901;11760;46811;61569;83044;592471;538532;1388894;1359194;24838,92216;204475;477843;294883;8286,548673;0,345955752;SEINE-ET-MARNE;77;ILE-DE-FRANCE;11
61;SAVOIE;9886;11728;9562;111823;2388;9732;12072;19538;626806;185981;417962;415893;23096,85393;60038;164617;97828;8954,186047;0,293348837;SAVOIE;73;AUVERGNE-RHONE-ALPES;84
82;AVEYRON;4178;2532;3054;18447;1042;3268;3252;5609;877213;123842;266649;277124;18801,58088;51439;113572;53513;8746;0,3097;AVEYRON;12;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
8;ILLE-ET-VILAINE;16638;21264;16706;132670;5025;12348;13100;30723;684051;438127;1010878;1006893;20642,61261;141489;353166;248379;9105,862069;0,281301724;ILLE-ET-VILAINE;35;BRETAGNE;53
33;HAUTE-VIENNE;6080;4800;5348;45031;1679;3668;4813;10639;555699;165857;348176;374123;19384,375;65473;142264;73895;8521,153846;0,3275;HAUTE-VIENNE;87;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
86;ARIEGE;5552;4573;4461;30021;1733;6337;3826;8081;490781;65925;139837;152495;18613,36283;;;;;;ARIEGE;9;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
62;PAS-DE-CALAIS;122378;114323;109283;540308;25975;52170;63649;110207;668853;602322;1447962;1464199;19877,55319;288899;558505;223750;7978,278146;0,370331126;PAS-DE-CALAIS;62;NORD-PAS-DE-CALAIS-PICARDIE;32
50;ESSONNE;19761;12088;15762;123681;2973;11792;16620;22298;181871;494041;1262149;1240234;27314,6875;175119;396215;324270;8305,789474;0,344515789;ESSONNE;91;ILE-DE-FRANCE;11
71;DORDOGNE;6232;4821;5401;43118;2318;7277;3301;12480;922021;185959;393150;405682;18888,12766;84530;174291;70875;8215,454545;0,351606061;DORDOGNE;24;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
19;GARD;8387;7775;6983;64655;1531;5940;5044;12020;587420;321005;725763;732585;19639,19881;131737;275688;149826;8185,128205;0,354051282;GARD;30;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
12;YONNE;15090;9293;12781;69336;3450;11096;8589;26527;745962;146651;324584;338796;20750,23622;71590;135575;51949;7978,333333;0,370291667;YONNE;89;BOURGOGNE-FRANCHE-COMTE;27
93;HAUTE-LOIRE;3668;2674;2386;18656;888;8914;5274;4908;500233;98949;220529;226167;18553,91705;39120;94705;39929;8781,538462;0,306923077;HAUTE-LOIRE;43;AUVERGNE-RHONE-ALPES;84
72;CALVADOS;39963;42589;29834;204962;9013;23390;29267;54406;558898;292906;655548;659217;21729,63489;123783;250208;132136;8603,230769;0,320969231;CALVADOS;14;NORMANDIE;28
87;VIENNE;7246;10826;5896;45477;1798;3585;5777;10955;703736;183503;403361;420940;19382,28137;73958;157966;85076;8831,75;0,303;VIENNE;86;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
23;COTES-D'ARMOR;12337;10822;9964;75087;3084;9859;7297;28456;698216;265825;584005;582162;19582,41279;97867;241586;115945;8949,615385;0,293679487;COTES-D'ARMOR;22;BRETAGNE;53
26;CANTAL;3610;2090;2374;13518;837;2985;1713;7628;577302;65107;135800;145041;18251,5311;29697;63639;23229;9080;0,283555556;CANTAL;15;AUVERGNE-RHONE-ALPES;84
