id;nom_tj;violence;destruction degradation;homicides;vols;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv
88;Tribunal de Grande Instance de Mont-de-Marsan;1120;1254;932;8684;278;962;1022;1628;614002;79870;177195;178284;20013,35366;30741;77888;32568;8357,142857;0,340285714
145;Tribunal de Grande Instance de Montluçon;2460;3198;2562;13686;618;1767;2382;4281;212530;50795;104761;110755;19167,67442;;;;;
156;Tribunal de Grande Instance de Montpellier;16951;17041;15587;166300;3478;16415;12563;28699;323829;352006;777535;782655;21654,51429;107437;256698;218442;8416,617647;0,335735294
69;Tribunal de Grande Instance de Moulins;2049;1263;1323;9519;342;1449;2712;2802;257572;40564;85882;89657;19187,92683;10;31;7;;
66;Tribunal de Grande Instance de Mulhouse;10018;8860;7766;45894;1520;7496;4534;8682;181662;198637;464588;475398;28495,82222;84923;180182;89232;8266,764706;0,347470588
78;Tribunal de Grande Instance de Nancy;36628;42324;31400;201469;6805;15900;26852;56273;413439;234319;518548;566062;21804,16446;84920;195429;122026;7970;0,370902439
47;Tribunal de Grande Instance de Nanterre;9955;11387;7859;83452;1565;5812;7014;21316;17722;685922;1589663;1598385;30590,27027;171325;353299;607479;7755,555556;0,387833333
137;Tribunal de Grande Instance de Nantes;18050;25727;17497;223604;4590;10242;10592;32558;441990;423934;983774;961066;21188,11594;115172;331903;267457;9290,869565;0,266793478
136;Tribunal de Grande Instance de Narbonne;2146;1478;2196;20844;493;1774;2164;2893;177925;75819;160384;158495;17795,46667;30034;66645;29658;7928,75;0,3740625
84;Tribunal de Grande Instance de Nevers;3309;1995;2193;22484;1160;2602;2686;6669;686183;94879;192994;214949;19295,38168;44716;89052;31274;7944;0,373066667
45;Tribunal de Grande Instance de Nice;6452;6287;5649;43376;838;4703;4952;9316;305381;252332;531401;520433;21560,84337;;;;;
131;Tribunal de Grande Instance de Nîmes;5917;5293;5067;47591;1065;4298;3724;8634;314172;237163;545600;544941;21002,71186;93850;199992;116593;8391,403509;0,337789474
52;Tribunal de Grande Instance de Niort;3944;3337;3030;27947;1223;3738;2505;5794;603883;154609;349831;351624;19294,81928;73600;145353;65286;8661,515152;0,316484848
51;Tribunal de Grande Instance de Paris;12392;13721;10843;155892;1605;10072;12240;39068;10539;1032268;2067590;2229621;29140;209819;393857;984752;7090;0,44
81;Tribunal de grande instance de Pau;11080;12971;10524;77249;2801;8578;6850;18723;539310;165686;366743;378066;20902,8534;52581;148247;86697;8320,4;0,34332
6;Tribunal de Grande Instance de Périgueux;2624;1770;2288;19476;982;3050;1322;5990;554956;113447;238886;244101;18796,15079;51439;106084;42170;8243,75;0,349375
112;Tribunal de Grande Instance de Perpignan;7328;5485;6420;65154;1757;5762;5455;11555;413631;213726;455496;462705;18758,11429;87109;186678;89074;8086,785714;0,361803571
41;Tribunal de Grande Instance de Poitiers;7246;10826;5896;45477;1798;3585;5777;10955;703736;183503;403361;420940;19382,28137;73958;157966;85076;8831,75;0,303
36;Tribunal de Grande Instance de Pontoise;37623;24960;27517;263171;5749;19136;34372;57768;125225;456801;1239348;1194595;26485,89888;189927;377455;269219;8226,8;0,350706667
38;Tribunal de Grande Instance de Privas;10309;13141;8625;76544;2569;9100;9422;14973;556481;140230;312112;319353;19018,32237;;;;;
63;Tribunal de Grande Instance de Quimper;3084;3001;2663;19617;719;2867;3030;5608;347419;179855;382712;383763;20457,6;54324;160525;82508;9182,777778;0,275259259
44;Tribunal de Grande Instance de Reims;10468;15950;8851;48148;1544;4424;5828;10270;171217;132546;294945;312629;26708,81988;50471;100844;68739;9013,636364;0,288545455
26;Tribunal de Grande Instance de Rennes;15528;20232;15824;127696;4848;12129;12116;29220;587233;364369;851844;853401;20714,19118;115348;289294;215764;9090,515464;0,282505155
109;Tribunal de Grande Instance de Roanne;3037;2298;2284;15073;587;1915;1955;6315;179096;68491;150581;156636;19468,93805;32219;62344;24970;8550;0,325272727
102;Tribunal de Grande Instance de Rodez;4178;2532;3054;18447;1042;3268;3252;5609;877213;123842;266649;277124;18801,58088;51439;113572;53513;8746;0,3097
57;Tribunal de Grande Instance de Rouen;75048;129178;74872;560686;20042;55430;41878;107804;227539;275826;618882;650176;22501,22222;115079;223036;130429;7744,090909;0,388818182
100;Tribunal de Grande Instance de Saint-Brieuc;7747;6376;5914;44667;1662;5161;5029;14776;555774;213238;465670;468484;19429,08397;77394;192764;94172;8893,442623;0,298147541
139;Tribunal de Grande Instance de Saintes;9251;8705;9188;89390;3518;9933;7370;22275;461419;129861;277428;275535;18858,31776;56652;120473;44690;8420;0,33552381
93;Tribunal de Grande Instance de Saint-Etienne;20127;18505;14595;113088;3296;12824;14170;25178;300767;254128;581953;599385;21146,79803;107980;220545;109807;8647,272727;0,317522727
